word,variant,frequency,category,affix_type,replacement,number
ballboy,ballboy,5.0,boy,suffix,ball person,SG
ballboys,ballboys,,boy,suffix,ball people,PL
batboy,batboy,5.0,boy,suffix,bat person,SG
batboys,batboys,,boy,suffix,bat people,PL
bellboy,bellboy,3.0,boy,suffix,bellhop,SG
bellboys,bellboys,,boy,suffix,bellhops,PL
boyband,boyband,13.0,boy,prefix,band,SG
boybands,boybands,,boy,prefix,bands,PL
boyfriend,boyfriend,6069.0,boy,prefix,partner,SG
boyfriends,boyfriends,,boy,prefix,partners,PL
boyish,boyish,32.0,boy,prefix,childish,SG
boyishly,boyishly,1.0,boy,prefix,childishly,SG
boyism,boyism,4.0,boy,prefix,childism,SG
boyisms,boyisms,,boy,prefix,childisms,PL
boyscout,boyscout,9.0,boy,prefix,scout,SG
boyscouts,boyscouts,,boy,prefix,scouts,PL
boytoy,boytoy,1.0,boy,prefix,toy,SG
boytoys,boytoys,,boy,prefix,toys,PL
busboy,busboy,37.0,boy,suffix,restaurant attendant,SG
busboys,busboys,,boy,suffix,restaurant attendants,PL
callboy,callboy,1.0,boy,suffix,sex worker,SG
callboys,callboys,,boy,suffix,sex workers,PL
copyboy,copyboy,1.0,boy,suffix,junior newspaper worker,SG
copyboys,copyboys,,boy,suffix,junior newspaper workers,PL
cowboy,cowboy,523.0,boy,suffix,cow herder,SG
cowboys,cowboys,,boy,suffix,cow herders,PL
doughboy,doughboy,6.0,boy,suffix,foot soldier,SG
doughboys,doughboys,,boy,suffix,foot soldiers,PL
fanboy,fanboy,159.0,boy,suffix,fan,SG
fanboys,fanboys,,boy,suffix,fans,PL
farmboy,farmboy,4.0,boy,suffix,farm worker,SG
farmboys,farmboys,,boy,suffix,farm workers,PL
femboy,femboy,1.0,boy,suffix,effeminate person,SG
femboys,femboys,,boy,suffix,effeminate people,PL
fisherboy,fisherboy,1.0,boy,suffix,young fisher,SG
fisherboys,fisherboys,,boy,suffix,young fishers,PL
fratboy,fratboy,2.0,boy,suffix,fraternity member,SG
fratboys,fratboys,,boy,suffix,fraternity members,PL
freemen,freemen,,boy,prefix,freepeople,PL
girlpowers,girlpowers,,boy,prefix,powers,PL
headboy,headboy,1.0,boy,suffix,student leader,SG
headboys,headboys,,boy,suffix,student leaders,PL
homeboy,homeboy,26.0,boy,suffix,fellow member,SG
homeboys,homeboys,,boy,suffix,fellow members,PL
houseboy,houseboy,5.0,boy,suffix,domestic worker,SG
houseboys,houseboys,,boy,suffix,domestic workers,PL
ladyboy,ladyboy,4.0,boy,suffix,genderqueer person,SG
ladyboys,ladyboys,,boy,suffix,genderqueer people,PL
nancyboy,nancyboy,1.0,boy,suffix,nancy,SG
nancyboys,nancyboys,,boy,suffix,nancies,PL
newsboy,newsboy,3.0,boy,suffix,newspaper delivery person,SG
newsboys,newsboys,,boy,suffix,newspaper delivery people,PL
paperboy,paperboy,28.0,boy,suffix,newspaper delivery person,SG
paperboys,paperboys,,boy,suffix,newspaper delivery people,PL
playboy,playboy,163.0,boy,suffix,player,SG
playboys,playboys,,boy,suffix,players,PL
plowboy,plowboy,31.0,boy,suffix,plower,SG
plowboys,plowboys,,boy,suffix,plowers,PL
tomboy,tomboy,55.0,boy,suffix,boisterous child,SG
tomboys,tomboys,,boy,suffix,boisterous children,PL
toyboy,toyboy,1.0,boy,suffix,toy,SG
toyboys,toyboys,,boy,suffix,toys,PL
babygirl,babygirl,1.0,girl,suffix,baby,SG
babygirls,babygirls,,girl,suffix,babies,PL
ballgirl,ballgirl,1.0,girl,suffix,ball person,SG
ballgirls,ballgirls,,girl,suffix,ball people,PL
bargirl,bargirl,2.0,girl,suffix,bartender,SG
bargirls,bargirls,,girl,suffix,bartenders,PL
callgirl,callgirl,1.0,girl,suffix,sex worker,SG
callgirls,callgirls,,girl,suffix,sex workers,PL
cavegirl,cavegirl,1.0,girl,suffix,caveperson,SG
cavegirls,cavegirls,,girl,suffix,cavepeople,PL
cowgirl,cowgirl,13.0,girl,suffix,cow herder,SG
cowgirls,cowgirls,,girl,suffix,cow herders,PL
fangirl,fangirl,14.0,girl,suffix,fan,SG
fangirls,fangirls,,girl,suffix,fans,PL
farmgirl,farmgirl,1.0,girl,suffix,farm worker,SG
farmgirls,farmgirls,,girl,suffix,farm workers,PL
girldom,girldom,2.0,girl,prefix,feminine sphere,SG
girldoms,girldoms,,girl,prefix,feminine spheres,PL
girlfag,girlfag,1.0,girl,prefix,woman attracted to gay men ,SG
girlfags,girlfags,,girl,prefix,woman attracteds to gay men ,PL
girlfight,girlfight,5.0,girl,prefix,fight,SG
girlfights,girlfights,,girl,prefix,fights,PL
girlfriend,girlfriend,8436.0,girl,prefix,partner,SG
girlfriends,girlfriends,,girl,prefix,partners,PL
girlification,girlification,2.0,girl,prefix,feminization,SG
girlifications,girlifications,,girl,prefix,feminizations,PL
girliness,girliness,21.0,girl,prefix,femininity,SG
girlinesses,girlinesses,,girl,prefix,femininities,PL
girlish,girlish,25.0,girl,prefix,feminine,SG
girlishly,girlishly,1.0,girl,prefix,childishly,SG
girllove,girllove,6.0,girl,prefix,love,SG
girlloves,girlloves,,girl,prefix,loves,PL
girlpower,girlpower,1.0,girl,prefix,power,SG
headmen,headmen,,girl,prefix,executioners,PL
papergirl,papergirl,1.0,girl,suffix,newspaper delivery person,SG
papergirls,papergirls,,girl,suffix,newspaper delivery people,PL
playgirl,playgirl,1.0,girl,suffix,player,SG
playgirls,playgirls,,girl,suffix,players,PL
showgirl,showgirl,18.0,girl,suffix,performer,SG
showgirls,showgirls,,girl,suffix,performers,PL
slavegirl,slavegirl,1.0,girl,suffix,slave,SG
slavegirls,slavegirls,,girl,suffix,slaves,PL
snowgirl,snowgirl,1.0,girl,suffix,snowperson,SG
snowgirls,snowgirls,,girl,suffix,snowpeople,PL
tomgirl,tomgirl,1.0,girl,suffix,timid child,SG
tomgirls,tomgirls,,girl,suffix,timid children,PL
adman,adman,5.0,man,suffix,advertiser,SG
admen,admen,,man,suffix,advertisers,PL
almsman,almsman,1.0,man,suffix,medical social worker,SG
almsmen,almsmen,,man,suffix,medical social workers,PL
ambulanceman,ambulanceman,1.0,man,suffix,emergency medical technician,SG
ambulancemen,ambulancemen,,man,suffix,emergency medical technicians,PL
anchorman,anchorman,39.0,man,suffix,anchorperson,SG
anchormen,anchormen,,man,suffix,anchorpeople,PL
artilleryman,artilleryman,1.0,man,suffix,cannoneer,SG
artillerymen,artillerymen,,man,suffix,cannoneers,PL
assemblyman,assemblyman,36.0,man,suffix,assembly member,SG
assemblymen,assemblymen,,man,suffix,assembly members,PL
assman,assman,2.0,man,suffix,assperson,SG
assmen,assmen,,man,suffix,asspeople,PL
backwoodsman,backwoodsman,1.0,man,suffix,explorer,SG
backwoodsmen,backwoodsmen,,man,suffix,explorers,PL
bagman,bagman,11.0,man,suffix,travelling salesperson,SG
bagmen,bagmen,,man,suffix,travelling salespeople,PL
bargeman,bargeman,1.0,man,suffix,barge operator,SG
bargemen,bargemen,,man,suffix,barge operators,PL
barman,barman,70.0,man,suffix,bartender,SG
barmen,barmen,,man,suffix,bartenders,PL
baseman,baseman,124.0,man,suffix,baseperson,SG
basemen,basemen,,man,suffix,basepeople,PL
batsman,batsman,85.0,man,suffix,batter,SG
batsmen,batsmen,,man,suffix,batters,PL
bellman,bellman,5.0,man,suffix,bellhop,SG
bellmen,bellmen,,man,suffix,bellhops,PL
binman,binman,2.0,man,suffix,garbage collector,SG
binmen,binmen,,man,suffix,garbage collectors,PL
bluesman,bluesman,15.0,man,suffix,bluesperson,SG
bluesmen,bluesmen,,man,suffix,bluespeople,PL
boatman,boatman,13.0,man,suffix,boater,SG
boatmen,boatmen,,man,suffix,boaters,PL
bogeyman,bogeyman,,man,suffix,monster,SG
bogeymen,bogeymen,,man,suffix,monsters,PL
bondman,bondman,8.0,man,suffix,slave,SG
bondmen,bondmen,,man,suffix,slaves,PL
bondsman,bondsman,22.0,man,suffix,slave,SG
bondsmen,bondsmen,,man,suffix,slaves,PL
boogieman,boogieman,8.0,man,suffix,monster,SG
boogiemen,boogiemen,,man,suffix,monsters,PL
bowman,bowman,6.0,man,suffix,archer,SG
bowmen,bowmen,,man,suffix,archers,PL
bushman,bushman,8.0,man,suffix,indigenous person,SG
bushmen,bushmen,,man,suffix,indigenous people,PL
businessman,businessman,1588.0,man,suffix,businessperson,SG
businessmen,businessmen,,man,suffix,businesspeople,PL
busman,busman,3.0,man,suffix,bus driver,SG
busmen,busmen,,man,suffix,bus drivers,PL
cabman,cabman,1.0,man,suffix,cabdriver,SG
cabmen,cabmen,,man,suffix,cabdrivers,PL
cameraman,cameraman,375.0,man,suffix,cameraperson,SG
cameramen,cameramen,,man,suffix,camerapeople,PL
cavalryman,cavalryman,3.0,man,suffix,trooper,SG
cavalrymen,cavalrymen,,man,suffix,troopers,PL
caveman,caveman,89.0,man,suffix,caveperson,SG
cavemen,cavemen,,man,suffix,cavepeople,PL
centerman,centerman,3.0,man,suffix,center,SG
centermen,centermen,,man,suffix,centers,PL
centreman,centreman,1.0,man,suffix,centre,SG
centremen,centremen,,man,suffix,centres,PL
chessman,chessman,1.0,man,suffix,chess figure,SG
chessmen,chessmen,,man,suffix,chess figures,PL
churchman,churchman,9.0,man,suffix,cleric,SG
churchmen,churchmen,,man,suffix,clerics,PL
clansman,clansman,4.0,man,suffix,clan member,SG
clansmen,clansmen,,man,suffix,clan members,PL
classman,classman,2.0,man,suffix,classmate,SG
classmen,classmen,,man,suffix,classmates,PL
coachman,coachman,10.0,man,suffix,coach driver,SG
coachmen,coachmen,,man,suffix,coach drivers,PL
cocksman,cocksman,1.0,man,suffix,sexually talented person,SG
cocksmen,cocksmen,,man,suffix,sexually talented people,PL
con-man,con-man,6.0,man,suffix,con artist,SG
con-men,con-men,,man,suffix,con artists,PL
congressman,congressman,1702.0,man,suffix,congressperson,SG
congressmen,congressmen,,man,suffix,congresspeople,PL
conman,conman,37.0,man,suffix,con artist,SG
conmen,conmen,,man,suffix,con artists,PL
cornerman,cornerman,2.0,man,suffix,second,SG
cornermen,cornermen,,man,suffix,seconds,PL
cornishman,cornishman,2.0,man,suffix,Cornish person,SG
cornishmen,cornishmen,,man,suffix,Cornish people,PL
corpsman,corpsman,15.0,man,suffix,medical assistant,SG
corpsmen,corpsmen,,man,suffix,medical assistants,PL
counterman,counterman,10.0,man,suffix,counterperson,SG
countermen,countermen,,man,suffix,counterpeople,PL
craftsman,craftsman,111.0,man,suffix,craftsperson,SG
craftsmen,craftsmen,,man,suffix,craftspeople,PL
crewman,crewman,35.0,man,suffix,crew member,SG
crewmen,crewmen,,man,suffix,crew members,PL
crossbowman,crossbowman,1.0,man,suffix,arbalist,SG
crossbowmen,crossbowmen,,man,suffix,arbalists,PL
cutman,cutman,1.0,man,suffix,medical attendant,SG
cutmen,cutmen,,man,suffix,medical attendants,PL
dairyman,dairyman,12.0,man,suffix,dairy worker,SG
dairymen,dairymen,,man,suffix,dairy workers,PL
deadman,deadman,8.0,man,suffix,corpse,SG
deadmen,deadmen,,man,suffix,corpses,PL
defenceman,defenceman,61.0,man,suffix,defender,SG
defencemen,defencemen,,man,suffix,defenders,PL
defenseman,defenseman,233.0,man,suffix,defender,SG
defensemen,defensemen,,man,suffix,defenders,PL
deskman,deskman,2.0,man,suffix,desk sergeant,SG
deskmen,deskmen,,man,suffix,desk sergeants,PL
discman,discman,1.0,man,suffix,portable CD player,SG
discmen,discmen,,man,suffix,portable CD players,PL
draftsman,draftsman,35.0,man,suffix,draftsperson,SG
draftsmen,draftsmen,,man,suffix,draftspeople,PL
draughtsman,draughtsman,4.0,man,suffix,draughtsperson,SG
draughtsmen,draughtsmen,,man,suffix,draughtspeople,PL
dutchman,dutchman,1.0,man,suffix,netherlander,SG
dutchmen,dutchmen,,man,suffix,netherlanders,PL
everyman,everyman,,man,suffix,ordinary person,SG
everymen,everymen,,man,suffix,ordinary people,PL
expressman,expressman,1.0,man,suffix,expressperson,SG
expressmen,expressmen,,man,suffix,expresspeople,PL
fireman,fireman,131.0,man,suffix,firefighter,SG
firemen,firemen,,man,suffix,firefighters,PL
fisherman,fisherman,376.0,man,suffix,fisher,SG
fishermen,fishermen,,man,suffix,fishers,PL
flagman,flagman,10.0,man,suffix,traffic guard,SG
flagmen,flagmen,,man,suffix,traffic guards,PL
footman,footman,8.0,man,suffix,servant,SG
footmen,footmen,,man,suffix,servants,PL
foreman,foreman,121.0,man,suffix,foreperson,SG
foremen,foremen,,man,suffix,forepeople,PL
freedman,freedman,12.0,man,suffix,freedperson,SG
freedmen,freedmen,,man,suffix,freedpeople,PL
freeman,freeman,32.0,man,suffix,freeperson,SG
frenchman,frenchman,1.0,man,suffix,French person,SG
frenchmen,frenchmen,,man,suffix,French people,PL
freshman,freshman,412.0,man,suffix,first-year student,SG
freshmen,freshmen,,man,suffix,first-year students,PL
frogman,frogman,7.0,man,suffix,diver,SG
frogmen,frogmen,,man,suffix,divers,PL
frontiersman,frontiersman,13.0,man,suffix,explorer,SG
frontiersmen,frontiersmen,,man,suffix,explorers,PL
frontman,frontman,178.0,man,suffix,frontperson,SG
frontmen,frontmen,,man,suffix,frontpeople,PL
garageman,garageman,1.0,man,suffix,mechanic,SG
garagemen,garagemen,,man,suffix,mechanics,PL
gateman,gateman,1.0,man,suffix,gatekeeper,SG
gatemen,gatemen,,man,suffix,gatekeepers,PL
gentleman,gentleman,,man,suffix,refined person,SG
gentlemans,gentlemans,,man,suffix,refined people,PL
gleeman,gleeman,1.0,man,suffix,minstrel,SG
gleemen,gleemen,,man,suffix,minstrels,PL
glovesman,glovesman,3.0,man,suffix,boxer,SG
glovesmen,glovesmen,,man,suffix,boxers,PL
groomsman,groomsman,5.0,man,suffix,groomsperson,SG
groomsmen,groomsmen,,man,suffix,groomspeople,PL
groundsman,groundsman,5.0,man,suffix,groundskeeper,SG
groundsmen,groundsmen,,man,suffix,groundskeepers,PL
guardsman,guardsman,14.0,man,suffix,guard,SG
guardsmen,guardsmen,,man,suffix,guards,PL
handicraftsman,handicraftsman,1.0,man,suffix,handicraftsperson,SG
handicraftsmen,handicraftsmen,,man,suffix,handicraftspeople,PL
hangman,hangman,56.0,man,suffix,executioner,SG
hangmen,hangmen,,man,suffix,executioners,PL
headman,headman,25.0,man,suffix,executioner,SG
headsman,headsman,4.0,man,suffix,executioner,SG
headsmen,headsmen,,man,suffix,executioners,PL
hitman,hitman,107.0,man,suffix,assassin,SG
hitmen,hitmen,,man,suffix,assassins,PL
horseman,horseman,26.0,man,suffix,equestrian,SG
horsemen,horsemen,,man,suffix,equestrians,PL
huntsman,huntsman,3.0,man,suffix,hunter,SG
huntsmen,huntsmen,,man,suffix,hunters,PL
iceman,iceman,12.0,man,suffix,ice vendor,SG
icemen,icemen,,man,suffix,ice vendors,PL
jokerman,jokerman,18.0,man,suffix,joker,SG
jokermen,jokermen,,man,suffix,jokers,PL
journeyman,journeyman,30.0,man,suffix,artisan,SG
journeymen,journeymen,,man,suffix,artisans,PL
kinsman,kinsman,17.0,man,suffix,relative,SG
kinsmen,kinsmen,,man,suffix,relatives,PL
landsman,landsman,5.0,man,suffix,landlubber,SG
landsmen,landsmen,,man,suffix,landlubbers,PL
lawman,lawman,21.0,man,suffix,law officer,SG
lawmen,lawmen,,man,suffix,law officers,PL
lensman,lensman,3.0,man,suffix,photographer,SG
lensmen,lensmen,,man,suffix,photographers,PL
lifeboatman,lifeboatman,4.0,man,suffix,lifeboat sailor,SG
lifeboatmen,lifeboatmen,,man,suffix,lifeboat sailors,PL
liftman,liftman,1.0,man,suffix,lift operator,SG
liftmen,liftmen,,man,suffix,lift operators,PL
lineman,lineman,74.0,man,suffix,lineperson,SG
linemen,linemen,,man,suffix,linepeople,PL
linesman,linesman,23.0,man,suffix,linesperson,SG
linesmen,linesmen,,man,suffix,linespeople,PL
lobsterman,lobsterman,4.0,man,suffix,lobster catcher,SG
lobstermen,lobstermen,,man,suffix,lobster catchers,PL
longshoreman,longshoreman,11.0,man,suffix,dockworker,SG
longshoremen,longshoremen,,man,suffix,dockworkers,PL
lumberman,lumberman,6.0,man,suffix,logger,SG
lumbermen,lumbermen,,man,suffix,loggers,PL
madman,madman,183.0,man,suffix,maniac,SG
madmen,madmen,,man,suffix,maniacs,PL
mailman,mailman,52.0,man,suffix,mail carrier,SG
mailmen,mailmen,,man,suffix,mail carriers,PL
man-ass,manass,1.0,man,prefix,ass,SG
man-asses,man-asses,,man,prefix,asses,PL
man-bag,man-bag,1.0,man,prefix,handbag,SG
man-bags,man-bags,,man,prefix,handbags,PL
man-boob,man-boob,,man,prefix,boob,PL
man-boobs,man-boobs,11.0,man,prefix,boobs,SG
man-cave,man cave,2.0,man,prefix,sanctuary,SG
man-caves,man-caves,,man,prefix,sanctuaries,PL
man-cession,mancession,2.0,man,prefix,recession,SG
man-cessions,man-cessions,,man,prefix,recessions,PL
man-child,man-child,27.0,man,prefix,child,SG
man-childs,man-childs,,man,prefix,children,PL
man-crush,man-crush,10.0,man,prefix,crush,SG
man-crushes,man-crushes,,man,prefix,crushes,PL
man-eater,man-eater,15.0,man,prefix,cannibal,SG
man-eaters,man-eaters,,man,prefix,cannibals,PL
man-eating,man-eating,21.0,man,prefix,human-eating,SG
man-eatings,man-eatings,,man,prefix,human-eatings,PL
man-friend,manfriend,1.0,man,prefix,friend,SG
man-friends,man-friends,,man,prefix,friends,PL
man-hater,man hater,12.0,man,prefix,hater,SG
man-haters,man-haters,,man,prefix,haters,PL
man-hating,man hating,7.0,man,prefix,misandry,SG
man-hatings,man-hatings,,man,prefix,misandries,PL
man-hour,man-hour,3.0,man,prefix,work-hour,SG
man-hours,man-hours,,man,prefix,work-hours,PL
man-hug,man hug,3.0,man,prefix,pound hug,SG
man-hugs,man-hugs,,man,prefix,pound hugs,PL
man-hunt,man hunt,5.0,man,prefix,organized search,SG
man-hunts,man-hunts,,man,prefix,organized searches,PL
man-kind,mankind,2.0,man,prefix,humankind,SG
man-kinds,man-kinds,,man,prefix,humankinds,PL
man-machine,man-machine,4.0,man,prefix,human-computer,SG
man-machines,man-machines,,man,prefix,human-computers,PL
